Topic,Question,BT Level
Autoboxing,Analyze the output of a Java program that uses Autoboxing.,Analyze
Date and Time API,Critique a design decision that relies on Date and Time API in Java.,Evaluate
Enum,Describe how Enum works in Java.,Understand
Character Streams,Write a Java code snippet that makes use of Character Streams.,Apply
Data Types,Why is Data Types used in Java? Explain.,Understand
Byte Streams,Evaluate the correctness and quality of a Java solution that uses Byte Streams.,Evaluate
Method Overloading,Assess the impact of Method Overloading on the maintainability of Java code.,Evaluate
Throw and Throws,Explain the working of Throw and Throws in Java in your own words.,Understand
HashSet,Interpret the behaviour of HashSet in Java with a suitable example.,Understand
Java I/O,Evaluate two different approaches to implementing Java I/O in Java and recommend one.,Evaluate
Methods,Show how Methods can be used in a Java program to perform a task.,Apply
Collections Framework,Use Collections Framework to implement a small Java application.,Apply
Dynamic Binding,"Determine whether Dynamic Binding improves or harms the efficiency of a Java program, and justify.",Evaluate
Ternary Operator,What are the components of Ternary Operator in Java?,Remember
Operators,Critique a design decision that relies on Operators in Java.,Evaluate
Inheritance,Analyze how Inheritance interacts with other features of Java.,Analyze
Association,Construct a Java program that combines Association with exception handling to build a robust solution.,Create
toString Method,Summarize the role of toString Method in Java programming.,Understand
Multithreading,Analyze why a Java program using Multithreading may produce unexpected results.,Analyze
Interfaces,What is Interfaces in Java?,Remember
Arrays,Evaluate two different approaches to implementing Arrays in Java and recommend one.,Evaluate
Generics,State two characteristics of Generics in Java.,Remember
Association,Why is Association used in Java? Explain.,Understand
Marker Interface,Develop a complete Java application that uses Marker Interface along with other concepts.,Create
StringTokenizer,Explain the concept of StringTokenizer in Java with an example.,Understand
Switch Statement,Give reasons why Switch Statement is important in Java.,Understand
JVM Architecture,Break down the working of JVM Architecture in Java and analyze each step.,Analyze
String Buffer and Builder,Write the general form of String Buffer and Builder in Java.,Remember
Association,Classify the different forms of Association in Java and explain each.,Understand
BufferedReader,Discuss the significance of BufferedReader in Java.,Understand
Garbage Collection,Critically assess the advantages and limitations of Garbage Collection in Java.,Evaluate
Try-Catch-Finally,Formulate a Java mini-project that showcases Try-Catch-Finally.,Create
equals and hashCode,State the syntax of equals and hashCode in Java.,Remember
Constructor Overloading,Compare Constructor Overloading with a related concept in Java and analyze the differences.,Analyze
super Keyword,Define super Keyword in Java.,Remember
Java Memory Model,Mention the purpose of Java Memory Model in Java.,Remember
Byte Streams,Write a Java program to demonstrate Byte Streams.,Apply
Access Modifiers,Discuss the significance of Access Modifiers in Java.,Understand
Constructors,List the key features of Constructors in Java.,Remember
Inheritance,Break down the working of Inheritance in Java and analyze each step.,Analyze
Enum,Evaluate the effectiveness of using Enum in a Java application.,Evaluate
String Buffer and Builder,Justify whether String Buffer and Builder is the best choice for a given Java programming problem.,Evaluate
JVM Architecture,Classify the different forms of JVM Architecture in Java and explain each.,Understand
Multidimensional Arrays,Justify whether Multidimensional Arrays is the best choice for a given Java programming problem.,Evaluate
Iterator,State the syntax of Iterator in Java.,Remember
Comparable and Comparator,Analyze why a Java program using Comparable and Comparator may produce unexpected results.,Analyze
Command Line Arguments,Discuss the significance of Command Line Arguments in Java.,Understand
Loops,Investigate the common errors that occur while using Loops in Java.,Analyze
Thread Synchronization,Write and execute a Java program illustrating Thread Synchronization.,Apply
String Pool,Analyze a given Java code segment using String Pool and explain its behaviour.,Analyze
Enhanced For Loop,Recall the default value associated with Enhanced For Loop in Java.,Remember
Exception Handling,Give reasons why Exception Handling is important in Java.,Understand
Multithreading,Analyze how Multithreading interacts with other features of Java.,Analyze
Encapsulation,"Determine whether Encapsulation improves or harms the efficiency of a Java program, and justify.",Evaluate
Is-A Relationship,Judge the suitability of Is-A Relationship for a large-scale Java project.,Evaluate
Comparable and Comparator,Why is Comparable and Comparator used in Java? Explain.,Understand
Enhanced For Loop,Evaluate the trade-offs involved in using Enhanced For Loop in Java.,Evaluate
Composition,Analyze why a Java program using Composition may produce unexpected results.,Analyze
Variable Scope,Propose and implement an original Java solution using Variable Scope.,Create
Variables,Evaluate the correctness and quality of a Java solution that uses Variables.,Evaluate
Labeled Loops,State two characteristics of Labeled Loops in Java.,Remember
Collections Framework,Explain the concept of Collections Framework in Java with an example.,Understand
Command Line Arguments,Summarize the role of Command Line Arguments in Java programming.,Understand
Throw and Throws,Explain the concept of Throw and Throws in Java with an example.,Understand
Inner Classes,"Recommend, with justification, when Inner Classes should be used in Java.",Evaluate
HashMap,Design a Java program using HashMap to model a real-life entity.,Create
Final Keyword,Develop a Java program that uses Final Keyword to handle a given scenario.,Apply
String Pool,Construct a Java program that applies String Pool to process data.,Apply
Jagged Arrays,Implement Jagged Arrays in Java with a working code example.,Apply
Access Modifiers,Justify whether Access Modifiers is the best choice for a given Java programming problem.,Evaluate
Regular Expressions,Break down the working of Regular Expressions in Java and analyze each step.,Analyze
Wrapper Classes,Devise a Java program that uses Wrapper Classes to implement a custom feature.,Create
Deque,Devise a Java program that uses Deque to implement a custom feature.,Create
Aggregation,Investigate the common errors that occur while using Aggregation in Java.,Analyze
Serialization,Write a Java code snippet that makes use of Serialization.,Apply
Packages,Write and execute a Java program illustrating Packages.,Apply
Runnable Interface,What are the components of Runnable Interface in Java?,Remember
equals and hashCode,Evaluate the correctness and quality of a Java solution that uses equals and hashCode.,Evaluate
Data Types,Examine the relationship between Data Types and memory usage in Java.,Analyze
